gene,#H0,#H1,#H2,#H3,#H4
391,NaN,NaN,NaN,NaN,NaN
392,0,0,NaN,NaN,NaN
393,NaN,NaN,NaN,NaN,NaN
394,0.7368421052631579,0.06910167818361303,NaN,NaN,NaN
395,0,0.4206896551724138,NaN,NaN,NaN
396,0,0.004830917874396135,NaN,NaN,NaN
397,NaN,0.005988023952095809,NaN,NaN,NaN
398,1,0,NaN,NaN,NaN
399,0,0,NaN,NaN,NaN
400,0,0.23648648648648649,NaN,NaN,NaN
401,0,0,NaN,NaN,NaN
402,1,0.3983739837398374,NaN,NaN,NaN
403,0,0.052083333333333336,NaN,NaN,NaN
404,0,0.012578616352201259,NaN,NaN,NaN
405,NaN,0,NaN,NaN,NaN
406,1,0.0040650406504065045,NaN,NaN,NaN
407,1,0.7831325301204819,NaN,NaN,NaN
408,0,0.8157524613220816,NaN,NaN,NaN
409,0,0.2913907284768212,NaN,NaN,NaN
410,0,0.8425531914893617,NaN,NaN,NaN
411,1,0.5769230769230769,NaN,NaN,NaN
412,1,0.014695077149155033,NaN,NaN,NaN
413,0,0.9538461538461539,NaN,NaN,NaN
414,0,0.005025125628140704,NaN,NaN,NaN
415,1,0,NaN,NaN,NaN
416,0,0,NaN,NaN,NaN
417,0,0.01639344262295082,NaN,NaN,NaN
418,0,0.0060901339829476245,NaN,NaN,NaN
419,0,0.007936507936507936,NaN,NaN,NaN
420,0,0.30510585305105853,NaN,NaN,NaN
421,0.6666666666666666,0.018779342723004695,NaN,NaN,NaN
422,0,0.3983739837398374,NaN,NaN,NaN
423,1,0,NaN,NaN,NaN
424,0,0.8055555555555556,NaN,NaN,NaN
425,0,0.6042031523642732,NaN,NaN,NaN
426,0,0,NaN,NaN,NaN
427,1,0.5467625899280576,NaN,NaN,NaN
428,NaN,0.18884892086330934,NaN,NaN,NaN
429,0,0.6566265060240963,NaN,NaN,NaN
430,0,0.29931972789115646,NaN,NaN,NaN
431,0,0.06161695447409733,NaN,NaN,NaN
432,0,0.024783147459727387,NaN,NaN,NaN
433,0,0.09316037735849056,NaN,NaN,NaN
434,NaN,0.04201680672268908,NaN,NaN,NaN
435,0,0.00684931506849315,NaN,NaN,NaN
436,0,0.005555555555555556,NaN,NaN,NaN
437,0.09615384615384616,0.01413760603204524,NaN,NaN,NaN
438,0.7083333333333334,0.1306532663316583,NaN,NaN,NaN
439,0,0.02857142857142857,NaN,NaN,NaN
440,0,0.5501066098081023,NaN,NaN,NaN
441,0,0.2366447985004686,NaN,NaN,NaN
442,0,0.29931972789115646,NaN,NaN,NaN
443,NaN,0,NaN,NaN,NaN
444,0,0.2510460251046025,NaN,NaN,NaN
445,1,0.06622516556291391,NaN,NaN,NaN
446,0,0.8669950738916257,NaN,NaN,NaN
447,0,0.06467661691542288,NaN,NaN,NaN
448,0,0.26811594202898553,NaN,NaN,NaN
449,0,0.3902439024390244,NaN,NaN,NaN
450,NaN,0.008695652173913044,NaN,NaN,NaN
451,1,0.004651162790697674,NaN,NaN,NaN
452,0,0.3597122302158273,NaN,NaN,NaN
453,1,0.7430555555555556,NaN,NaN,NaN
454,1,0,NaN,NaN,NaN
455,NaN,0,NaN,NaN,NaN
456,0,0.09581881533101046,NaN,NaN,NaN
457,0,0.3983739837398374,NaN,NaN,NaN
458,0,0.8791946308724832,NaN,NaN,NaN
459,1,0,NaN,NaN,NaN
460,0,0.19523809523809524,NaN,NaN,NaN
461,0,0,NaN,NaN,NaN
462,0,0,NaN,NaN,NaN
463,0,0.5614035087719298,NaN,NaN,NaN
464,NaN,NaN,NaN,NaN,NaN
465,NaN,0.007874015748031496,NaN,NaN,NaN
466,0,0.010368663594470046,NaN,NaN,NaN
