gene,#H1,#H2,#H3,#H4,#H5
481,NaN,NaN,NaN,0.08947368421052632,NaN
482,NaN,NaN,NaN,0,NaN
483,NaN,NaN,NaN,0,NaN
484,NaN,NaN,NaN,0.006802721088435374,NaN
485,NaN,NaN,NaN,0.3359375,NaN
486,NaN,NaN,NaN,0.4432059447983015,NaN
487,NaN,NaN,NaN,0.9318181818181818,NaN
488,NaN,NaN,NaN,0.19105199516324062,NaN
489,NaN,NaN,NaN,0.0182648401826484,NaN
490,NaN,NaN,NaN,0.48905109489051096,NaN
491,NaN,NaN,NaN,0.05113636363636364,NaN
492,NaN,NaN,NaN,0,NaN
493,NaN,NaN,NaN,0.07336244541484715,NaN
494,NaN,NaN,NaN,0.17673048600883653,NaN
495,NaN,NaN,NaN,0,NaN
496,NaN,NaN,NaN,0.009009009009009009,NaN
497,NaN,NaN,NaN,0,NaN
498,NaN,NaN,NaN,0,NaN
499,NaN,NaN,NaN,0,NaN
500,NaN,NaN,NaN,0.7221884498480243,NaN
501,NaN,NaN,NaN,0.017905102954341987,NaN
502,NaN,NaN,NaN,0.07751937984496124,NaN
503,NaN,NaN,NaN,0.3983739837398374,NaN
504,NaN,NaN,NaN,0.08021390374331551,NaN
505,NaN,NaN,NaN,0,NaN
506,NaN,NaN,NaN,0.025,NaN
507,NaN,NaN,NaN,0.4357142857142857,NaN
508,NaN,NaN,NaN,0.6644295302013423,NaN
509,NaN,NaN,NaN,0.005714285714285714,NaN
510,NaN,NaN,NaN,0.6056338028169014,NaN
511,NaN,NaN,NaN,0.023668639053254437,NaN
512,NaN,NaN,NaN,0.018292682926829267,NaN
513,NaN,NaN,NaN,0,NaN
514,NaN,NaN,NaN,0.23684210526315788,NaN
515,NaN,NaN,NaN,0.004545454545454545,NaN
516,NaN,NaN,NaN,0.9095334685598377,NaN
517,NaN,NaN,NaN,0.025906735751295335,NaN
518,NaN,NaN,NaN,0.3310344827586207,NaN
519,NaN,NaN,NaN,0.9014084507042254,NaN
520,NaN,NaN,NaN,0.152317880794702,NaN
521,NaN,NaN,NaN,0.7159090909090909,NaN
522,NaN,NaN,NaN,0.012690355329949238,NaN
523,NaN,NaN,NaN,0,NaN
524,NaN,NaN,NaN,0.7831325301204819,NaN
525,NaN,NaN,NaN,0.023121387283236993,NaN
526,NaN,NaN,NaN,0.013745704467353952,NaN
527,NaN,NaN,NaN,0.14516129032258066,NaN
528,NaN,NaN,NaN,0.005714285714285714,NaN
529,NaN,NaN,NaN,0.1978798586572438,NaN
530,NaN,NaN,NaN,0.28776978417266186,NaN
531,NaN,NaN,NaN,0,NaN
